,words,count
199,डिस्चार्ज,216
200,समन्वय,216
201,महिलाको,215
202,कायम,214
203,क्रममा,212
204,टेस्ट,212
205,नभएको,211
206,चीनको,211
207,स्थापना,209
208,हैन,209
209,राष्ट्रपति,207
210,समिति,206
211,अध्ययन,206
212,उडान,204
213,गम्भीर,203
214,भर्ना,202
215,गत,202
216,कुन,202
217,संक्रमणका,200
218,मध्ये,197
219,अनुमति,196
220,पिसिआर,195
221,जोखिममा,194
222,कारणले,193
223,उपाय,192
224,बिरामीको,191
225,स्वाब,191
226,महिना,190
227,वितरण,190
228,अस्पतालको,190
229,प्रहरी,190
230,क्षेत्र,189
231,निशुल्क,189
232,सामना,188
233,समितिको,188
234,पालना,187
235,योजना,187
236,बच्न,186
237,नाम,185
238,मेडिकल,185
239,भई,185
240,पत्ता,184
241,कोरोनाको,183
242,भइरहेको,182
243,चीन,182
244,घरमै,182
245,सुझाव,182
246,नमूना,182
247,गर्नुपर्ने,181
248,सम्बन्धित,181
249,बनाएको,181
250,प्रवक्ता,181
251,अभाव,181
252,बढीको,180
253,एकैदिन,179
254,शनिबार,178
255,जीवन,177
256,महामारीले,177
257,रकम,177
258,स्वदेश,177
259,गरौ,177
260,जनताको,176
261,पत्रकार,176
262,पुरुष,176
263,मुलुकमा,176
264,बजे,176
265,शिक्षा,175
266,नियमित,175
267,बैठक,174
268,फैलिन,174
269,पूर्ण,173
270,त्रास,173
271,भरतपुर,173
272,थालेको,172
273,चिनियाँ,172
274,संकलन,172
275,थपिएका,172
276,रोजगारी,171
277,करिब,170
278,उत्पादन,169
279,नागरिकको,169
280,महामारीमा,169
281,पुष्टी,169
282,अवसरमा,168
283,शुल्क,168
284,नगरपालिका,168
285,नेता,167
286,मापदण्ड,165
287,बेलायतमा,165
288,बसेको,165
289,परीक्षणका,165
290,वर्षीया,165
291,बजेट,164
292,अध्यक्ष,164
293,आइसोलेसन,164
294,सम्भावित,164
295,वर्षको,163
296,भारतको,163
297,बुधबार,163
298,जनतालाई,162
299,देखिएका,162
300,मुक्त,161
301,देखिएपछि,161
302,अत्यावश्यक,161
303,कोष,161
304,नेपाललाई,160
305,धन्यवाद,160
306,पर्यटन,159
307,चुनौती,159
308,प्रवेश,159
309,सतर्कता,159
310,संगठन,157
311,फर्किएका,157
312,प्रयोगशाला,157
313,सङ्क्रमणबाट,156
314,कहिले,156
315,नतिजा,156
316,हात,156
317,यससँगै,156
318,अनुसन्धान,155
319,कार्यालय,155
320,जनस्वास्थ्य,155
321,लामो,154
322,भिडियो,154
323,अर्थतन्त्र,154
324,देशको,154
325,चैत,154
326,विज्ञान,154
327,नीति,154
328,नाघेको,154
329,नं,153
330,मंगलमय,153
331,परीक्षा,153
332,शुक्रबार,153
333,राष्ट्र,152
334,उपचाररत,151
335,की,151
336,अभियान,150
337,आइसोलेसनमा,150
338,क्षमता,150
339,सन्दर्भमा,149
340,बिहान,149
341,चितवनमा,149
342,हजारभन्दा,148
343,जिल्लाका,148
344,चरणमा,147
345,चिकित्सक,147
346,दाबी,147
347,गरिएका,147
348,सम्पुर्ण,147
349,क्वारेन्टाइन,147
350,व्यक्त,146
351,गरिरहेका,146
352,समितिले,146
353,हाल,145
354,गराउन,145
355,नेपालले,145
356,मानिसको,144
357,संघ,144
358,खरिद,144
359,आइतबार,144
360,जाँच,144
361,गरिरहेको,143
362,लगाउन,142
363,चीनमा,142
364,लागी,142
365,सक्रिय,142
366,विदेशबाट,141
367,उक्त,140
368,शान्ति,140
369,अस्पतालले,140
370,शर्मा,139
371,मन्त्रालयको,139
372,सङ्क्रमणको,139
373,कर्णाली,139
374,केस,139
375,राजनीतिक,138
376,उत्पन्न,138
377,चीनले,137
378,मुलुक,137
379,बर्ष,137
380,देशभर,136
381,सहज,136
382,फरक,136
383,पार्टी,135
384,मान्छे,135
385,काठमाडौँ,134
386,कार्य,134
387,नेपालीलाई,134
388,गठन,134
389,नेपालका,133
390,नागरिकलाई,133
391,डाक्टर,133
392,लागू,133
393,महामारीबाट,132
394,अमेरिका,132
395,रोक,132
396,अलपत्र,132
397,परिवार,132
398,डलर,132
399,प्रेस,132
400,अझ,132
401,सोमबार,131
402,होस,131
403,उद्धार,130
404,दर,130
405,गण्डकी,129
406,पुरुषको,129
407,केपी,128
408,गैरआवासीय,128
409,सम्पन्न,128
410,सीमा,128
411,कार्यरत,127
412,सबैले,127
413,संयुक्त,126
414,भो,126
415,पुर्,126
416,मंगलबार,126
417,बजारमा,126
418,नेकपा,125
419,अनुगमन,125
420,पहिचान,124
421,देशका,124
422,ओलीले,123
423,ओली,123
424,उद्योग,123
425,स्रोत,123
426,चिन्ता,123
427,मानिस,122
428,लकडाउनका,122
429,पो,122
430,सांसद,122
431,रुपैयाँ,122
432,अवसर,121
433,सबैमा,121
434,फेला,121
435,जेठ,121
436,मानसिक,120
437,सञ्चालनमा,120
438,आन्तरिक,120
439,घरमा,120
440,स्वास्थ,119
441,अर्थतन्त्रमा,119
442,समुदायमा,119
443,हरु,119
444,पछिको,119
445,दायरा,119
446,विद्यालय,118
447,खतरा,118
448,किट,118
449,क्षति,118
450,बैंकले,117
451,जय,117
452,व्यक्तिमा,116
453,मुख्यमन्त्री,116
454,सम्बन्धि,115
455,प्रकोप,115
456,भेटिएका,115
457,साता,115
458,गर्यो,115
459,रुप,115
460,अहिलेको,115
461,सालको,115
462,में,115
463,नमुना,114
464,सम्भावना,114
465,भएकी,114
466,ल्याएको,114
467,बसेका,114
468,परिचालन,114
469,बाँकी,113
470,शुरू,113
471,अनुभव,113
472,लिने,113
473,सम्बन्धमा,113
474,बैंक,113
475,भत्ता,113
476,बीमा,112
477,आम,112
478,बसेर,112
479,अति,111
480,सुख,111
481,ने,111
482,पाइएको,111
483,चाहिँ,111
484,नाका,110
485,लगाएको,110
486,त्यसको,110
487,अधिकार,110
488,मध्यनजर,110
489,सावधानी,110
490,रहन,110
491,र्,110
492,बेलामा,109
493,सन्,109
494,भएकाले,109
495,जोगिन,109
496,जनालाई,108
497,कृषि,108
498,परिस्थितिमा,108
499,मिति,108
500,झण्डै,108
501,भेटिएको,108
502,अस्पतालका,108
503,आदेश,108
504,खटिएका,107
505,अन्तिम,107
506,सदस्य,107
507,केन्द्रमा,107
508,डर,106
509,बताएको,106
510,अस्पताललाई,106
511,शक्ति,106
512,जुध्न,105
513,होम,105
514,उपत्यका,105
515,यापिड,105
516,हवाई,104
517,भारतले,104
518,भूमिका,104
519,परिवर्तन,104
520,हजारको,104
521,शव,104
522,गरौँ,104
523,बन्दाबन्दी,104
524,खुकुलो,104
525,वडा,103
526,कर्मचारी,103
527,दूरी,103
528,तथ्यांक,102
529,पैसा,102
530,काे,102
531,विश्वका,102
532,से,102
533,प्रदेशका,102
534,एनआरएनए,101
535,भारतबाट,101
536,फैलिरहेको,101
537,स्थानमा,101
538,नगर्न,101
539,यस्तै,101
540,सकारात्मक,101
541,लड्ने,101
542,अनिवार्य,100
543,कडा,100
544,रोगको,100
545,गुमाउनेको,100
546,निषेधाज्ञा,100
547,आक्रान्त,99
548,लगायतका,99
549,प्रस्ताव,99
550,आफु,99
551,संस्था,99
552,हस्तान्तरण,99
553,प्रशासन,99
554,चितवन,99
555,आशा,99
556,आजकोसमाचार,99
557,मुलुकको,98
558,काठमाडौंमा,98
559,बिहीबार,98
560,क्रम,98
561,आयोजना,98
562,बजार,98
563,अर्थ,98
564,मृत्युदर,98
565,लक,98
566,सुदूरपश्चिम,98
567,भएसँगै,97
568,लकडाउनमा,97
569,नगरपालिकाले,97
570,सम्बोधन,97
571,भयावह,97
572,सार्क,97
573,औषधी,97
574,अनुमान,96
575,राज्य,96
576,प्राथमिकता,96
577,गलत,96
578,स्थिति,96
579,प्रहरीले,96
580,संख्यामा,96
581,सन्देश,96
582,जनाले,96
583,साझा,95
584,कदम,95
585,व्यवसाय,94
586,दुरी,94
587,गराएको,94
588,आजदेखि,94
589,चीनबाट,94
590,टेष्ट,94
591,कोशी,94
592,रक्षा,93
593,नम्बर,93
594,भोलि,93
595,चेतावनी,93
596,थालेपछि,93
597,समाधान,93
598,उपचारको,93
599,बिरामीलाई,93
600,जनसङ्ख्या,92
601,मिलेर,92
602,नेपालीमा,92
603,सरुवा,92
604,गर्,92
605,सम्पर्क,92
606,यता,92
607,सामाग्री,92
608,युवा,91
609,सर्वोच्च,91
610,गुमाएका,91
611,लेख,91
612,जिम्मेवारी,91
613,दु,91
614,फिर्ता,91
615,बन्दै,90
616,तीव्र,90
617,जोखिमलाई,90
618,सिल,90
619,रणनीति,90
620,निरन्तर,89
621,पुरुषमा,89
622,सकेको,89
623,संलग्न,89
624,सुरक्षाकर्मी,88
625,कोइराला,88
626,यात्रा,88
627,खुला,88
628,सम्मान,88
629,समस्यामा,88
630,कमजोर,88
631,गाउँ,88
632,सडक,87
633,बढिरहेको,87
634,नियम,87
635,बिश्व,87
636,लाखभन्दा,87
637,कांग्रेस,87
638,विकल्प,87
639,जनताले,86
640,मार्फत,86
641,अनलाइन,86
642,शुभ,86
643,वैदेशिक,85
644,कमी,85
645,भौतिक,85
646,नगरी,85
647,भेन्टिलेटर,85
648,बढ्यो,85
649,यसलाई,85
650,रोकिएको,85
651,सहभागी,85
652,उपकरण,85
653,अध्यावधिक,85
654,साढे,84
655,गएपछि,84
656,समितिका,84
657,समाज,84
658,निर्देशक,84
659,सेनाको,84
660,उल्लेख,84
661,उपयुक्त,84
662,डेस्क,84
663,रोकथाममा,84
664,सिर्जना,83
665,भ्रष्टाचार,83
666,सफलता,83
667,विधि,83
668,ऋण,83
669,नियन्त्रणको,83
670,विषय,83
671,आधारमा,82
672,सवारी,82
673,हुनसक्छ,82
674,मृतक,82
675,बिना,82
676,उदयपुरमा,82
677,गाउँपालिका,81
678,संसार,81
679,देखाएको,81
680,स्वस्थ,81
681,संकटको,81
682,भाइरसबाट,81
683,विद्यार्थी,81
684,हुनुपर्ने,81
685,होईन,81
686,ध्यानाकर्षण,81
687,प्रादेशिक,81
688,सेनाले,81
689,प्रतिबन्ध,80
690,आपतकालीन,80
691,नोवेल,80
692,पर्यो,80
693,आवश्यकता,80
694,खेल,80
695,साँझ,80
696,डाउन,80
697,प्लाज्मा,80
698,बचाउन,80
699,कडाइ,80
700,भाइरसका,80
701,सीसीएमसी,80
702,द्वारा,79
703,सरकारका,79
704,विदेशी,79
705,विज्ञ,79
706,गरेपछि,79
707,जिल्लाको,79
708,संकटमा,79
709,मृतकको,79
710,आएपछि,79
711,भएकोमा,79
712,काेराेना,79
713,स्थित,78
714,दिवस,78
715,सचेतना,78
716,मिडिया,78
717,यसअघि,78
718,सङ्क्रमणका,78
719,थालेका,78
720,सम्पर्कमा,78
721,सङ्कट,78
722,कार्यान्वयन,78
723,ठुलो,78
724,मृत्युको,78
725,पुगेका,78
726,लडाइँमा,78
727,ठप्प,77
728,संयोजक,77
729,विश्वास,77
730,दिवसको,77
731,यहि,77
732,अमेरिकाको,77
733,देशले,77
734,इटालीमा,77
735,अपिल,77
736,आकस्मिक,77
737,केन्द्रित,77
738,केन्द्रीय,77
739,सतर्क,77
740,बैठकमा,77
741,आरडीटी,77
742,बढि,76
743,अधिकारी,76
744,भानुभक्त,76
745,कम्पनी,76
746,घटना,76
747,प्याकेज,76
748,क्षेत्रका,76
749,कर,76
750,व्यवस्थापनमा,76
751,हुनसक्ने,76
752,तलब,76
753,कोराना,76
754,श्रम,76
755,भदौ,76
756,अस्ट्रेलिया,75
757,व्यापक,75
758,सहकार्य,75
759,अधिकांश,75
760,पहल,75
761,प्रत्यक्ष,75
762,संसारभर,75
763,अस्थायी,75
764,मानिसमा,75
765,जिम्मेवार,75
766,तहमा,75
767,यसबाट,74
768,भन्छ,74
769,निश्चित,74
770,स्वास्थ्यकर्मीको,74
771,प्रवाह,74
772,सेन्टर,74
773,क्षेत्रको,74
774,अवधिमा,74
775,महत्वपूर्ण,74
776,श्रमिक,74
777,व्यक्तिगत,74
778,क्लिनिकल,73
779,नेतृत्व,73
780,ईश्वर,73
781,भनिएको,73
782,उपत्यकाका,73
783,कूल,73
784,सम्झौता,73
785,संघीय,73
786,टोली,73
787,संक्रमितमध्ये,73
788,विगत,72
789,स्वीकृति,72
790,तथ्य,72
791,कोरोनाबाट,72
792,उदयपुर,72
793,फर्केका,72
794,महिलामा,72
795,एप,72
796,निरन्तरता,71
797,दल,71
798,विस्तार,71
799,जोखिमका,71
800,वैज्ञानिक,71
801,शैक्षिक,71
802,बैशाख,71
803,दुवै,71
804,सङ्कलन,71
805,यातायात,71
806,कम्पनीले,70
807,सन्दर्भ,70
808,कै,70
809,संक्रमणमुक्त,70
810,प्रकाशित,70
811,अफ,70
812,राखिएको,70
813,व्यापार,70
814,ब्राजिलमा,70
815,ज्वरो,70
816,गरिब,70
817,महिनाको,70
818,राति,70
819,पुगे,70
820,योसँगै,70
821,जिम्मा,70
822,कोरियामा,70
823,काठमांडू,70
824,मोबाइल,70
825,रोकथामको,69
826,लाइ,69
827,दिइएको,69
828,अबको,69
829,गतिविधि,69
830,विरूद्धको,69
831,सरकारसँग,69
832,ट्रेसिङ,69
833,पानी,69
834,चरणको,69
835,ख्याल,69
836,राजनीति,68
837,परिवारका,68
838,बाहेकका,68
839,वैशाख,68
840,मूल्य,68
841,बन्ने,68
842,झन्,68
843,बधाई,68
844,रोजगार,68
845,रहौं,68
846,भएपनि,68
847,लकडाउनले,68
848,भनी,68
849,रहनु,68
850,देखिन,68
851,पाउन,67
852,होटल,67
853,बनाएर,67
854,संचालन,67
855,भ्याक्सिनको,67
856,पहिलोपटक,67
857,कैलाली,67
858,आधिकारिक,67
859,निउज,67
860,बढेपछि,66
861,महानगरपालिका,66
862,विषम,66
863,कोरोनाले,66
864,कक्षा,66
865,पर्व,66
866,आरोप,66
867,प्रम,66
868,ठूला,66
869,ट्रम्पले,66
870,सशस्त्र,66
871,कर्मचारीको,65
872,गएका,65
873,बाँकेमा,65
874,झन,65
875,उपप्रधानमन्त्री,65
876,सुधार,65
877,तथ्याङ्क,65
878,नजिक,65
879,पाठ,65
880,भइसकेको,65
881,उत्तर,65
882,बैंकको,65
883,पीपीई,65
884,राजधानी,64
885,पोखरा,64
886,ध्यानमा,64
887,जोड,64
888,नर्स,64
889,ढकालले,64
890,वित्तीय,64
891,छिटो,64
892,व्यक्तिलाई,64
893,भेला,64
894,लकडाउनलाई,64
895,आह्वान,63
896,देशभरका,63
897,खतरनाक,63
898,तय,63
899,कम्तीमा,63
900,तरकारी,63
901,व्यवसायी,63
902,बिरुद्धको,63
903,फैलाउने,63
904,गर्नुहोस्,63
905,माहामारी,63
906,सुत्केरी,63
907,विधिबाट,63
908,सडकमा,62
909,ठिक,62
910,गर्भवती,62
911,आएकी,62
912,सिफारिस,62
913,सुविधा,62
914,दायित्व,62
915,जटिल,62
916,थाल्यो,62
917,कारबाही,62
918,कार्यक्रममा,61
919,नेपालीले,61
920,विश्लेषण,61
921,बेलायत,61
922,परास्त,61
923,वर्षका,61
924,रैछ,61
925,देखा,61
926,समुदाय,61
927,स्वास्थ्यकर्मीलाई,61
928,छिमेकी,61
929,विचार,61
930,सुनसान,61
931,तहका,61
932,हुन्न,61
933,लागेका,61
934,चै,61
935,फर्किए,61
936,मारमा,60
937,छिट्टै,60
938,रहे,60
939,मार्च,60
940,सञ्चार,60
941,प्रमाणित,60
942,तुलनामा,60
943,बच्ने,60
944,दिउँसो,60
945,आशंकामा,60
946,रूपैयाँ,60
947,हुदै,60
948,बहस,60
949,निगरानी,60
950,बस्नु,60
951,बसौं,60
952,जापानमा,59
953,घातक,59
954,प्रक्रिया,59
955,न्यूनीकरण,59
956,निष्कर्ष,59
957,वर्तमान,59
958,लाग्न,59
959,विभागले,59
960,अवधि,59
961,भक्तपुर,59
962,हप्ता,59
963,नमस्कार,59
964,नभएका,59
965,सेना,59
966,आशंका,59
967,कसैलाई,58
968,बाध्य,58
969,पक्राउ,58
970,रहौ,58
971,प्रतिकार्य,58
972,संक्रमणले,58
973,खान,58
974,हुँदैछ,58
975,शुक्रराज,58
976,नगरौं,58
977,सहायता,58
978,एकजुट,58
979,सहि,58
980,पावन,58
981,दुख,58
982,युद्ध,58
983,खटिने,58
984,ज्ञान,58
985,प्रवेशमा,57
986,लक्षित,57
987,ढकाल,57
988,डब्लुएचओ,57
989,वातावरण,57
990,औपचारिक,57
991,फुटबल,57
992,बढेसँगै,57
993,खाना,57
994,असफल,57
995,गुमाउने,57
996,पाटन,57
997,खाद्यान्न,57
998,महान,57
999,शिक्षण,57
1000,गतेसम्म,57
1001,निर्देशिका,57
1002,बागमती,57
1003,हाे,57
1004,विश्वभरी,57
1005,कक्ष,57
1006,टि,57
1007,प्रधानमन्त्रीको,56
1008,पारिश्रमिक,56
1009,कहर,56
1010,थालिएको,56
1011,त्रसित,56
1012,जोगाउन,56
1013,युरोपेली,56
1014,असहज,56
1015,नया,56
1016,प्रदर्शन,56
1017,दर्ता,56
1018,नागरिकले,56
1019,बढाएको,56
1020,बचौं,56
1021,प्रधानमन्त्रीले,56
1022,साना,56
1023,सानो,56
1024,पर्दैन,56
1025,नसकेको,55
1026,पूर्वाधार,55
1027,सक्छन्,55
1028,बचाउ,55
1029,कोरोनाका,55
1030,मजदुर,55
1031,उत्कृष्ट,55
1032,कतार,55
1033,विज्ञप्ति,55
1034,त्रिभुवन,55
1035,संक्रमणलाई,55
1036,विराटनगर,55
1037,असोज,55
1038,विरूद्ध,55
1039,फोन,55
1040,प्रविधि,55
1041,स्तरीय,55
1042,संगठनले,55
1043,बचौ,55
1044,नामक,55
1045,घण्टा,54
1046,कांग्रेसले,54
1047,भइरहेका,54
1048,मनाउन,54
1049,गति,54
1050,विश्वको,54
1051,तयारीमा,54
1052,प्रगति,54
1053,संघले,54
1054,परिणाम,54
1055,श्रोत,53
1056,दिएर,53
1057,परिस्थिति,53
1058,आयात,53
1059,दावी,53
1060,बेलायती,53
1061,कोरना,53
1062,विजय,53
1063,देशलाई,53
1064,पठाउने,53
1065,गृह,53
1066,थपिएको,53
1067,पठाएको,53
1068,सिर्जित,53
1069,रुसले,53
1070,उपचारपछि,53
1071,सजग,53
1072,रोक्ने,53
1073,नपाएर,53
1074,छुट,53
1075,केन्द्रको,53
1076,बनौं,53
1077,तिरेर,53
1078,अधिकारीले,52
1079,समुदायलाई,52
1080,लाभको,52
1081,संसद,52
1082,कठिन,52
1083,अबस्थामा,52
1084,कतिपय,52
1085,स्वागत,52
1086,ट्रम्प,52
1087,अमेरिकाले,52
1088,पहिला,52
1089,साबुन,52
1090,भर्चुअल,52
1091,अस्पतालबाट,52
1092,ब्रिफिङ,52
1093,नपाउने,52
1094,संक्रमितहरुको,52
1095,आधार,52
1096,जनचेतना,52
1097,बिषयमा,52
1098,मानवीय,52
1099,बिरामीमा,52
1100,नेपालीहरुको,52
1101,भाइरसले,52
1102,भारतका,51
1103,दिइने,51
1104,थाले,51
1105,विदेश,51
1106,सेल्फ,51
1107,कन्ट्याक्ट,51
1108,कांग्रेसका,51
1109,वुहान,51
1110,भेटियो,51
1111,क्रिकेट,51
1112,आपूर्ति,51
1113,प्रती,51
1114,सम्मेलन,51
1115,चैत्र,51
1116,गाह्रो,51
1117,सर्ने,51
1118,छिन्,51
1119,पुर्ण,51
1120,प्रतिष्ठानको,51
1121,दीर्घायु,51
1122,अभियानमा,51
1123,देखिएन,51
1124,आत्महत्या,51
1125,पक्ष,50
1126,गतेदेखि,50
1127,बताइएको,50
1128,लाखको,50
1129,सभा,50
1130,टेकु,50
1131,घरेलु,50
1132,पार,50
1133,लगाइएको,50
1134,सुरक्षाका,50
1135,नाकामा,50
1136,खोपलाई,50
1137,महिनामा,50
1138,प्रतिवेदन,50
1139,समृद्धि,50
1140,माध्यमबाट,50
1141,सचिव,50
1142,गतिमा,50
1143,महामारीसँग,50
1144,करीब,50
1145,वैकल्पिक,50
1146,ट्रपिकल,50
1147,विश्,50
1148,प्रतिष्ठान,50
1149,संक्रमितलाई,50
1150,भाईरसको,50
1151,हेर्नुहोस्,50
1152,निकाय,50
1153,दशैं,50
1154,फैलन,50
1155,महत्त्वपूर्ण,50
1156,अदालतले,50
1157,भएमा,50
1158,काठमाडौंका,49
1159,फाइजर,49
1160,अनावश्यक,49
1161,बालबालिका,49
1162,उपयोगी,49
1163,सोच,49
1164,पुरै,49
1165,क्या,49
1166,टिप्पणी,49
1167,कम्तिमा,49
1168,तहको,49
1169,खाद्य,49
1170,नोट,49
1171,गर्नका,49
1172,प्रतिष्ठानमा,49
1173,कोषको,49
1174,बर्षिय,49
1175,विरामी,49
1176,कुराकानी,48
1177,अपेक्षा,48
1178,महिनादेखि,48
1179,फर्कन,48
1180,कथा,48
1181,स्वास्थ्यमन्त्री,48
1182,न्यून,48
1183,कटौती,48
1184,अत्यन्त,48
1185,प्रस्तुत,48
1186,पौडेल,48
1187,भन्नु,48
1188,युरोपमा,48
1189,मिल्ने,48
1190,शरीरमा,48
1191,बेसार,48
1192,पछिल्ला,48
1193,यसका,48
1194,बेड,48
1195,पार्टीको,48
1196,व्यस्त,48
1197,मनोबल,48
1198,मुलुकका,48
1199,रोकिएका,48
1200,तह,48
1201,बलियो,48
1202,सम्बन्ध,48
1203,योगदान,48
1204,मन्त्रिपरिषद्,48
1205,खडा,48
1206,स्पेनमा,48
1207,डोनाल्ड,48
1208,धुलिखेल,48
1209,संकेत,48
1210,मृत्यू,48
1211,सामुदायिक,47
1212,सुरू,47
1213,महामारीलाई,47
1214,सामान,47
1215,बनौ,47
1216,चाड,47
1217,आयोगले,47
1218,वाणिज्य,47
1219,श्रेष्ठ,47
1220,उमेर,47
1221,आधारित,47
1222,प्रतिरोधात्मक,47
1223,अनुदान,47
1224,तरिकाले,47
1225,नोबेल,47
1226,हजुर,47
1227,क्लब,47
1228,उनीहरूलाई,47
1229,डब्ल्यूएचओ,46
1230,वर्षमा,46
1231,सल्लाह,46
1232,अध्ययनले,46
1233,बनेका,46
1234,पोखरेलले,46
1235,जनाएका,46
1236,सुचारु,46
1237,तस्वीर,46
1238,अग्रपंक्तिमा,46
1239,चासो,46
1240,छ्न,46
1241,कार्यालयले,46
1242,आधा,46
1243,विराटनगरमा,46
1244,पहुँच,46
1245,जन,46
1246,प्रदेशको,46
1247,उपलक्ष्यमा,46
1248,लगातार,46
1249,जवाफ,46
1250,प्रगतिको,46
1251,यतिबेला,46
1252,सेती,46
1253,बस्दै,46
1254,क्राइसिस,46
1255,पुष्,46
1256,अफवाह,46
1257,मे,46
1258,पर्सामा,46
1259,सातै,46
1260,झनै,45
1261,सत्य,45
1262,याउन,45
1263,प्रयोगका,45
1264,पार्टीका,45
1265,बनायो,45
1266,स्थान,45
1267,खुलेको,45
1268,प्रतिबद्धता,45
1269,उनीहरु,45
1270,वरिष्ठ,45
1271,चैतमा,45
1272,घटेको,45
1273,रद्द,45
1274,माक्स,45
1275,खाली,45
1276,लिएका,45
1277,जी,45
1278,ब्यक्त,45
1279,चार्टर्ड,45
1280,साउदी,45
1281,बर्षीय,45
1282,सम्मको,45
1283,भै,44
1284,व्यवस्थापनको,44
1285,कायमै,44
1286,शहर,44
1287,विश्वविद्यालय,44
1288,प्रतिशतले,44
1289,राखी,44
1290,वाट,44
1291,डेढ,44
1292,पोखरेल,44
1293,भीड,44
1294,उनलाई,44
1295,नदिने,44
1296,मानिसलाई,44
1297,बिमा,44
1298,काठमाडाैं,44
1299,सी,44
1300,प्रयोगमा,44
